step,warp,clutter,variation,entropy,bot_success,mode,human_score,delay,cognitive_load,difficulty,ARI
17,0.20634392100427373,0.05,18,0.09968922632552486,0.10161463772760644,weak,0.8286777840743471,3.5922345002946687,0.40249474675497376,0.3130144921962141,0.7458769666364119
26,0.1478802569862184,0.05,18,0.12753609631695403,0.1270772924342765,weak,0.8079892619605482,3.265415081573543,0.38037618512137056,0.2992499915600396,0.7264853871308184
29,0.13511092558560145,0.05,18,0.12442823011406216,0.12278447456576375,weak,0.8382195334220314,3.4701677704245397,0.37605358299729513,0.29399502957509666,0.7425462735278108
30,0.13568892706702657,0.050578001481425126,18,0.12879235350591361,0.1283069657591734,weak,0.8681020709624692,3.1067778027580153,0.37639820883463454,0.2956488924299915,0.7533429080984839
37,0.1,0.05,18,0.145833787229065,0.1459663566063111,weak,0.8527008535123328,4.017275043931906,0.36522926005323425,0.2895923737655366,0.7390712862311561
38,0.10154097829283759,0.05154097829283759,18,0.13445356931645353,0.13541537414035915,weak,0.8573170807911583,3.2708634715299785,0.36607914355472904,0.28702819189324796,0.7461529488035348
39,0.10215125660668131,0.052151256606681316,18,0.1405258213673214,0.14636921155541904,weak,0.8740588743615106,3.5080417848209033,0.36641767857567753,0.2891884025294568,0.7485415080097956
41,0.1,0.05,18,0.14352753875626312,0.15053679407022452,weak,0.8632333911895177,3.9354390979293132,0.36522926005323425,0.28890049922369604,0.7418234187813123
51,0.1,0.05,18,0.14362586594584795,0.14246459746004292,weak,0.857357698779486,3.0639969847784094,0.36522926005323425,0.2889299973805715,0.7428088958556922
52,0.10117131604181176,0.05117131604181176,18,0.15562295160144612,0.14629407904572234,weak,0.8608133629615377,2.9231701227056925,0.365874620533282,0.29317448355729875,0.7422162294063871
